year,high_temp,low_temp,precipitation_24hrs,weather,track_condition,attendance,race
2019,71.0,58.0,0.34,Showery,Sloppy,150729,Kentucky Derby
2018,70.0,61.0,3.15,Showery,Sloppy,157813,Kentucky Derby
2017,62.0,42.0,0.12,Clear,Muddy,158070,Kentucky Derby
2016,85.0,59.0,0.28,Clear,Fast,167227,Kentucky Derby
2015,79.0,52.0,0.0,Clear,Fast,170513,Kentucky Derby
2014,73.0,45.0,0.0,Clear,Fast,164906,Kentucky Derby
2013,64.0,53.0,0.87,Rainy,Sloppy,151616,Kentucky Derby
2012,83.0,65.0,1.46,Cloudy,Fast,165307,Kentucky Derby
2011,72.0,51.0,0.0,Clear,Fast,164858,Kentucky Derby
2010,75.0,63.0,1.32,Cloudy,Sloppy,155804,Kentucky Derby
2009,62.0,51.0,0.07,Cloudy,Sloppy,153563,Kentucky Derby
2008,75.0,50.0,0.69,Clear,Fast,157770,Kentucky Derby
2007,78.0,62.0,0.98,Cloudy,Fast,156635,Kentucky Derby
2006,68.0,52.0,0.0,Clear,Fast,157536,Kentucky Derby
2005,80.0,48.0,0.0,Cloudy,Fast,156435,Kentucky Derby
2019,78.1,60.1,0.0,Clear,Fast,56217,Belmont Stakes
2018,79.0,57.9,0.0,Clear,Fast,90327,Belmont Stakes
2017,84.0,51.1,0.0,Clear,Fast,57729,Belmont Stakes
2016,82.0,57.9,0.0,Clear,Fast,60114,Belmont Stakes
2015,79.0,57.0,0.2,Clear,Fast,90000,Belmont Stakes
2014,80.1,61.0,0.0,Clear,Fast,102199,Belmont Stakes
2013,75.9,57.0,4.11,Clear,Fast,55779,Belmont Stakes
2012,80.1,59.0,0.0,Cloudy,Fast,85811,Belmont Stakes
2011,75.9,62.6,0.2,Cloudy,Sloppy,47562,Belmont Stakes
2010,90.0,70.0,0.0,Clear,Fast,45243,Belmont Stakes
2009,72.0,57.0,0.0,Clear,Fast,52186,Belmont Stakes
2008,82.9,57.9,0.0,Clear,Fast,94476,Belmont Stakes
2007,81.0,62.1,0.0,Clear,Fast,46870,Belmont Stakes
2006,75.9,57.0,0.0,Clear,Fast,61168,Belmont Stakes
2005,78.1,64.0,0.0,Cloudy,Fast,62274,Belmont Stakes
2019,78.1,70.0,0.0,Cloudy,Fast,131256,Preakness
2018,64.0,52.0,0.95,Foggy,Sloppy,134487,Preakness
2017,77.0,66.0,0.43,Cloudy,Fast,140327,Preakness
2016,70.0,55.0,0.03,Rainy,Sloppy,135256,Preakness
2015,82.9,63.0,0.0,Rainy,Sloppy,131680,Preakness
2014,68.0,54.0,0.38,Cloudy,Fast,123469,Preakness
2013,78.1,64.0,0.0,Clear,Fast,117203,Preakness
2012,84.0,60.1,0.0,Clear,Fast,121309,Preakness
2011,73.9,59.0,0.08,Clear,Fast,118356,Preakness
2010,76.1,66.7,0.0,Clear,Fast,96760,Preakness
2009,75.7,66.7,0.0,Showery,Fast,77850,Preakness
2008,75.0,48.9,0.17,Clear,Fast,121876,Preakness
2007,75.9,54.0,0.0,Cloudy,Fast,132221,Preakness
2006,68.0,55.4,0.0,Clear,Fast,128643,Preakness
2005,73.0,48.9,0.0,Clear,Fast,125687,Preakness
